id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name,has_buynow
73124602,7494611465205,Bình Giữ Nhiệt Thép Không Gỉ Vacuum Bottle Lock&Lock LHC6180FU (800ml) thiết kế xách tay dễ dàng cho việc mang theo. Màu sắc nổi bật mang đển cảm giác trẻ trung khi sử dụng.Bình giữ nhi...,348000,677000,,329000,49,6643,,available,,1000,1000,,48077,LocknLock,True
141298301,3461618569285,Sản phẩm được đóng trong túi zipper trong suốt và niêm phong kín.Đơn vị tính: GóiĐịnh lượng/gói: 2 hạtXuất xứ: Việt Nam - RADO seedsTỉ lệ nảy mầm: 89%--------------------------Thời vụ trồng dưa ...,7490,7490,,0,0,10,,available,,1000,1000,,111461,OEM,True
115092053,6156159064709,"Theo các chuyên gia y tế, tối thiểu bạn nên thay ga giường, gối 1 lần/tuần. Bởi trên mặt ga giường, vỏ gối chứa vô số vi khuẩn từ tế bào chết trên da (cơ thể mất hàng triệu tế bào da mỗi ngày), phấn t...",69000,120000,,51000,43,583,,available,,1000,1000,,697923,LIDACO,True
186558014,6994053079370,"Combo 10 Móc Dán Tường Treo Đồ Đa Năng Siêu Chịu LựcMỗi miếng dán sử dụng keo cường lực, độ bám dính tốt, nhưng khách chỉ nên dán trên bề mặt tường mịn màng, không lồi lỗ để đảm bảo thời gian sử dụng...",19900,19900,,0,0,207,,available,,1000,1000,,5706641,NAVIVU,True
193207962,8667446727227,"Thiết kế đẹp mắt, decor phù hợp với mọi không gianChảo vân đá đáy từ Nagakawa NAG06 với màu sắc trắng trang nhã và tay cầm màu vân gỗ, có tính decor cao tô điểm sẽ làm sáng không gian bếp gia đình bạ...",318000,400000,,82000,21,9,,available,,1000,1000,,110935,Nagakawa,True
1657931,2083613875744,"Vợt Muỗi Sunhouse SHE-E250 có kiểu dáng gọn nhẹ với thiết kế lưới điện an toàn, được làm bằng 2 lớp lưới nhôm (bên ngoài) và 1 lớp lưới sắt (bên trong), giúp tiêu diệt muỗi nhanh chóng.Sản phẩm có kh...",81100,119000,,37900,32,1231,,available,,1000,1000,,41048,Sunhouse,True
84566545,3448170956202,Ổ cắm đa năng USB Nakagami công nghệ Nhật Bản. Sản phẩm ổ cắm điện Nakagami có thiết kế kiểu dáng nhỏ gọn có thể sử dụng đa năng cho nhiều vị trí trong gia đình bạn. Thiết kế bao gồm 2 lỗ cắm USB và ...,155000,155000,,0,0,906,,available,,1000,1000,,290071,Nakagami,True
186627908,4742192840663,"Ghế Gác Chân Công Thái Học, Ghế Kê Chân Văn Phòng Ergonomic Footrest Đầy Đủ Phiên Bản Ghế gác chân công thái học được nghiên cứu và thiết kế khoa học giúp nâng đỡ chân thoải mái khi làm việc, học hàn...",189000,280000,,91000,33,173,,available,,1000,1000,,111461,OEM,True
83412126,2186358773080,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML với thiết kế nắp mở một chạm dễ dàng: Đẩy sang trái để mở khóa đồng thời mở nắp.Miệng cốc rộng: Dễ dàng thêm đá viên và chùi ...,262000,528000,,266000,50,3239,,available,,1000,1000,,48077,LocknLock,True
53789448,6888275518789,   BẠN MUỐN MUA THÊM SẢN PHẨM KHÁC CỦA PARROTI Bộ lau nhà ProMax - Size LớnThùng rác Parroti BinCọ bồn cầu Parroti Silicon Bộ cây lau nhà thông minh tự vắt Parroti ...,395000,799000,,404000,51,3646,,available,,1000,1000,,746615,Parroti,True
